Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__int32__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__int64__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__iter_1204
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__lazy__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__lexing__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__listLabels__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__list__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__list__rev_map_1143
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__list__rmap_f_1146
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__map__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__marshal__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__min_1028
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__moreLabels__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__nativeint__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__obj__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__open_in_gen_201245
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__parsing__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__printexc__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__printexc__set_uncaught_exception_handler_401854
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__printf__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__queue__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__random__bits_1784
  0.00      3.84     0.00        1     0.00     0.04  camlStdlib__random__copy_1781
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__random__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__random__init_1959
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__random__make_self_init_1778
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__scanf__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__scanf__from_ic_1840
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__seq__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__set__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__stack__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__stream__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__stringLabels__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__string__contains_from_1178
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__string__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__string__index_rec_1130
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__sys__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__sys__set_signal_1679
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__uchar__entry
  0.00      3.84     0.00        1     0.00     0.00  camlStdlib__weak__entry
  0.00      3.84     0.00        1     0.00     0.00  camlTypeChecker__entry
  0.00      3.84     0.00        1     0.00     0.00  camlUnifyTypes__entry
  0.00      3.84     0.00        1     0.00     0.00  camlUnify__entry
  0.00      3.84     0.00        1     0.00     0.00  camlUtils__entry
