Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.05     0.00       30     0.00     4.78  camlCore__Core_filename__collapse_trailing_2230
  0.00      0.05     0.00       29     0.00     0.00  camlGenCode__fun_708031
  0.00      0.05     0.00       29     0.00     0.00  camlGenCode__sexp_of_code_202612
  0.00      0.05     0.00       29     0.00     0.00  camlLinearise__lineariseCode_107132
  0.00      0.05     0.00       28     0.00     0.04  camlGenCode__codeNotFirstClauses_705050
  0.00      0.05     0.00       28     0.00     0.00  camlUnify____1_2003
  0.00      0.05     0.00       28     0.00     0.00  caml_sys_time
  0.00      0.05     0.00       20     0.00     0.00  camlGenFunctionTable__makeVariAbstract_1055
  0.00      0.05     0.00       20     0.00     0.01  camlLinearise__putClauseCodesInArray_5742
  0.00      0.05     0.00       20     0.00     0.00  core_unix_inet4_addr_to_int63_exn
  0.00      0.05     0.00       19     0.00     2.11  camlStdlib__parsing__yyparse_1823
  0.00      0.05     0.00       18     0.00     0.12  camlGenCode__loadArg_204947
  0.00      0.05     0.00       17     0.00     0.00  camlDt__fun_2011608
  0.00      0.05     0.00       17     0.00     0.00  camlDt__fun_2011665
  0.00      0.05     0.00       16     0.00     0.00  camlGenFunctionTable__makeTermAbstract_103166
  0.00      0.05     0.00       16     0.00     0.92  camlUnify__fun_605816
  0.00      0.05     0.00       16     0.00     0.00  camlUnify__fun_605979
  0.00      0.05     0.00       16     0.00     9.73  caml_array_get_float
  0.00      0.05     0.00       15     0.00     0.08  camlGenCode__codeAllClauses_705076
  0.00      0.05     0.00       15     0.00     0.00  camlGenCode__genCode_705093
  0.00      0.05     0.00       15     0.00     0.00  camlGenFunctionTable__fun_505478
  0.00      0.05     0.00       15     0.00     0.00  camlGenFunctionTable__fun_505510
  0.00      0.05     0.00       15     0.00     0.00  camlUnify__show_intnum_1961
  0.00      0.05     0.00       15     0.00     0.00  camlUnify__show_trailVal_1826
  0.00      0.05     0.00       14     0.00     0.00  camlParser___menhir_goto_typedef_body_1126
  0.00      0.05     0.00       12     0.00     0.00  caml_ba_uint8_get64
  0.00      0.05     0.00       11     0.00     0.38  camlGenCode__codeBodyVal_204981
  0.00      0.05     0.00       11     0.00     0.00  camlGenFunctionTable__fun_505534
